scheme_name,description,benefits,eligibility,application_process,target_beneficiaries,ministry,state,sector
Rural Development Startup Development Initiative,"The Rural Development Startup Development Initiative is designed to promote startup development by providing targeted support to farmers in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be farmers aged between 30 and 42 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Commerce and Industry,Gujarat,Startup
Smart India Social Welfare Samriddhi Scheme,"The Smart India Social Welfare Samriddhi Scheme is designed to promote social welfare development by providing targeted support to senior citizens in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be senior citizens aged between 26 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Social Justice and Empowerment,Kerala,Social Welfare
Pradhan Mantri Agriculture Abhiyan,"The Pradhan Mantri Agriculture Abhiyan is designed to promote agriculture development by providing targeted support to senior citizens in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be senior citizens aged between 22 and 49 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Agriculture and Farmers Welfare,Telangana,Agriculture
Rural Development Education Mission,"The Rural Development Education Mission is designed to promote education development by providing targeted support to self help groups in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be self help groups aged between 29 and 51 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Education,Telangana,Education
Digital India Skill Development Mission,"The Digital India Skill Development Mission is designed to promote skill development development by providing targeted support to rural households in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be rural households aged between 30 and 59 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Skill Development and Entrepreneurship,Tamil Nadu,Skill Development
Chief Minister Energy Kalyan Program,"The Chief Minister Energy Kalyan Program is designed to promote energy development by providing targeted support to farmers in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be farmers aged between 30 and 60 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Power,All India,Energy
National Employment Abhiyan,"The National Employment Abhiyan is designed to promote employment development by providing targeted support to rural households in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be rural households aged between 27 and 54 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Labour and Employment,Telangana,Employment
Pradhan Mantri Women Welfare Mission,"The Pradhan Mantri Women Welfare Mission is designed to promote women welfare development by providing targeted support to youth in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be youth aged between 21 and 45 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Women and Child Development,Gujarat,Women Welfare
Urban Development Employment Kalyan Program,"The Urban Development Employment Kalyan Program is designed to promote employment development by providing targeted support to urban poor families in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be urban poor families aged between 23 and 45 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Labour and Employment,Uttar Pradesh,Employment
National Startup Yojana,"The National Startup Yojana is designed to promote startup development by providing targeted support to students in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be students aged between 22 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Commerce and Industry,West Bengal,Startup
Urban Development Agriculture Samriddhi Scheme,"The Urban Development Agriculture Samriddhi Scheme is designed to promote agriculture development by providing targeted support to small business owners in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be small business owners aged between 26 and 54 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Agriculture and Farmers Welfare,Tamil Nadu,Agriculture
Integrated Agriculture Samriddhi Scheme,"The Integrated Agriculture Samriddhi Scheme is designed to promote agriculture development by providing targeted support to farmers in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 22 and 50 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Agriculture and Farmers Welfare,Uttar Pradesh,Agriculture
Integrated Energy Samriddhi Scheme,"The Integrated Energy Samriddhi Scheme is designed to promote energy development by providing targeted support to students in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be students aged between 26 and 56 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Power,Rajasthan,Energy
Chief Minister Employment Yojana,"The Chief Minister Employment Yojana is designed to promote employment development by providing targeted support to rural households in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be rural households aged between 21 and 45 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Labour and Employment,Tamil Nadu,Employment
Rural Development Agriculture Samriddhi Scheme,"The Rural Development Agriculture Samriddhi Scheme is designed to promote agriculture development by providing targeted support to rural households in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be rural households aged between 25 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Agriculture and Farmers Welfare,Rajasthan,Agriculture
National Energy Yojana,"The National Energy Yojana is designed to promote energy development by providing targeted support to youth in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be youth aged between 25 and 44 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Power,Gujarat,Energy
National Employment Mission,"The National Employment Mission is designed to promote employment development by providing targeted support to small business owners in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 19 and 59 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Labour and Employment,Karnataka,Employment
Urban Development Energy Kalyan Program,"The Urban Development Energy Kalyan Program is designed to promote energy development by providing targeted support to women entrepreneurs in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be women entrepreneurs aged between 29 and 45 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Power,Madhya Pradesh,Energy
Digital India Employment Mission,"The Digital India Employment Mission is designed to promote employment development by providing targeted support to small business owners in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 23 and 53 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Labour and Employment,Tamil Nadu,Employment
National Agriculture Development Initiative,"The National Agriculture Development Initiative is designed to promote agriculture development by providing targeted support to small business owners in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 27 and 50 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Agriculture and Farmers Welfare,Maharashtra,Agriculture
Digital India Energy Abhiyan,"The Digital India Energy Abhiyan is designed to promote energy development by providing targeted support to farmers in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be farmers aged between 25 and 63 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Power,Gujarat,Energy
Smart India Women Welfare Development Initiative,"The Smart India Women Welfare Development Initiative is designed to promote women welfare development by providing targeted support to urban poor families in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be urban poor families aged between 23 and 64 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Women and Child Development,Madhya Pradesh,Women Welfare
Smart India Education Samriddhi Scheme,"The Smart India Education Samriddhi Scheme is designed to promote education development by providing targeted support to urban poor families in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be urban poor families aged between 23 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Education,Tamil Nadu,Education
Digital India Housing Abhiyan,"The Digital India Housing Abhiyan is designed to promote housing development by providing targeted support to youth in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be youth aged between 20 and 52 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Housing and Urban Affairs,Uttar Pradesh,Housing
Integrated Agriculture Kalyan Program,"The Integrated Agriculture Kalyan Program is designed to promote agriculture development by providing targeted support to farmers in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be farmers aged between 26 and 58 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Agriculture and Farmers Welfare,Karnataka,Agriculture
Chief Minister Women Welfare Kalyan Program,"The Chief Minister Women Welfare Kalyan Program is designed to promote women welfare development by providing targeted support to senior citizens in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be senior citizens aged between 20 and 40 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Women and Child Development,Uttar Pradesh,Women Welfare
Pradhan Mantri Education Yojana,"The Pradhan Mantri Education Yojana is designed to promote education development by providing targeted support to students in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be students aged between 18 and 53 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Education,Gujarat,Education
Rural Development Women Welfare Abhiyan,"The Rural Development Women Welfare Abhiyan is designed to promote women welfare development by providing targeted support to senior citizens in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be senior citizens aged between 20 and 61 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Women and Child Development,Gujarat,Women Welfare
National Education Kalyan Program,"The National Education Kalyan Program is designed to promote education development by providing targeted support to women entrepreneurs in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be women entrepreneurs aged between 29 and 47 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Education,Andhra Pradesh,Education
Integrated Education Development Initiative,"The Integrated Education Development Initiative is designed to promote education development by providing targeted support to senior citizens in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be senior citizens aged between 22 and 54 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Education,Tamil Nadu,Education
Smart India Healthcare Yojana,"The Smart India Healthcare Yojana is designed to promote healthcare development by providing targeted support to startup founders in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be startup founders aged between 27 and 63 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Health and Family Welfare,Rajasthan,Healthcare
National Healthcare Abhiyan,"The National Healthcare Abhiyan is designed to promote healthcare development by providing targeted support to urban poor families in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be urban poor families aged between 27 and 48 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Health and Family Welfare,Telangana,Healthcare
Smart India Employment Kalyan Program,"The Smart India Employment Kalyan Program is designed to promote employment development by providing targeted support to self help groups in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be self help groups aged between 30 and 58 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Labour and Employment,West Bengal,Employment
Pradhan Mantri Energy Samriddhi Scheme,"The Pradhan Mantri Energy Samriddhi Scheme is designed to promote energy development by providing targeted support to self help groups in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be self help groups aged between 28 and 42 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Power,Kerala,Energy
Pradhan Mantri Social Welfare Yojana,"The Pradhan Mantri Social Welfare Yojana is designed to promote social welfare development by providing targeted support to small business owners in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 29 and 62 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Social Justice and Empowerment,Uttar Pradesh,Social Welfare
Chief Minister Startup Development Initiative,"The Chief Minister Startup Development Initiative is designed to promote startup development by providing targeted support to small business owners in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be small business owners aged between 24 and 63 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Commerce and Industry,Gujarat,Startup
Integrated Healthcare Yojana,"The Integrated Healthcare Yojana is designed to promote healthcare development by providing targeted support to women entrepreneurs in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be women entrepreneurs aged between 18 and 41 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Health and Family Welfare,Tamil Nadu,Healthcare
Rural Development Agriculture Abhiyan,"The Rural Development Agriculture Abhiyan is designed to promote agriculture development by providing targeted support to senior citizens in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be senior citizens aged between 26 and 65 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Agriculture and Farmers Welfare,Gujarat,Agriculture
Pradhan Mantri Energy Development Initiative,"The Pradhan Mantri Energy Development Initiative is designed to promote energy development by providing targeted support to women entrepreneurs in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be women entrepreneurs aged between 26 and 62 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Power,Maharashtra,Energy
Chief Minister Energy Abhiyan,"The Chief Minister Energy Abhiyan is designed to promote energy development by providing targeted support to farmers in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be farmers aged between 21 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Power,Andhra Pradesh,Energy
Chief Minister Social Welfare Development Initiative,"The Chief Minister Social Welfare Development Initiative is designed to promote social welfare development by providing targeted support to urban poor families in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be urban poor families aged between 23 and 54 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Social Justice and Empowerment,Gujarat,Social Welfare
Smart India Women Welfare Samriddhi Scheme,"The Smart India Women Welfare Samriddhi Scheme is designed to promote women welfare development by providing targeted support to farmers in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 27 and 41 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Women and Child Development,Rajasthan,Women Welfare
Pradhan Mantri Education Mission,"The Pradhan Mantri Education Mission is designed to promote education development by providing targeted support to farmers in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be farmers aged between 20 and 62 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Education,Andhra Pradesh,Education
Smart India Employment Mission,"The Smart India Employment Mission is designed to promote employment development by providing targeted support to small business owners in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 25 and 61 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Labour and Employment,Madhya Pradesh,Employment
Chief Minister Energy Samriddhi Scheme,"The Chief Minister Energy Samriddhi Scheme is designed to promote energy development by providing targeted support to startup founders in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be startup founders aged between 26 and 64 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Power,West Bengal,Energy
Chief Minister Agriculture Yojana,"The Chief Minister Agriculture Yojana is designed to promote agriculture development by providing targeted support to self help groups in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be self help groups aged between 19 and 47 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Agriculture and Farmers Welfare,Gujarat,Agriculture
Smart India Social Welfare Mission,"The Smart India Social Welfare Mission is designed to promote social welfare development by providing targeted support to youth in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be youth aged between 22 and 56 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Social Justice and Empowerment,Kerala,Social Welfare
Smart India Social Welfare Yojana,"The Smart India Social Welfare Yojana is designed to promote social welfare development by providing targeted support to students in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be students aged between 20 and 55 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Social Justice and Empowerment,Gujarat,Social Welfare
Rural Development Social Welfare Mission,"The Rural Development Social Welfare Mission is designed to promote social welfare development by providing targeted support to small business owners in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be small business owners aged between 20 and 48 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Social Justice and Empowerment,Rajasthan,Social Welfare
Digital India Social Welfare Yojana,"The Digital India Social Welfare Yojana is designed to promote social welfare development by providing targeted support to farmers in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be farmers aged between 19 and 41 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Social Justice and Empowerment,Telangana,Social Welfare
Smart India Agriculture Abhiyan,"The Smart India Agriculture Abhiyan is designed to promote agriculture development by providing targeted support to women entrepreneurs in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be women entrepreneurs aged between 30 and 51 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Agriculture and Farmers Welfare,Karnataka,Agriculture
Rural Development Women Welfare Kalyan Program,"The Rural Development Women Welfare Kalyan Program is designed to promote women welfare development by providing targeted support to women entrepreneurs in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be women entrepreneurs aged between 25 and 40 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Women and Child Development,Tamil Nadu,Women Welfare
Digital India Skill Development Abhiyan,"The Digital India Skill Development Abhiyan is designed to promote skill development development by providing targeted support to self help groups in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be self help groups aged between 26 and 44 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Skill Development and Entrepreneurship,Andhra Pradesh,Skill Development
Integrated Startup Mission,"The Integrated Startup Mission is designed to promote startup development by providing targeted support to self help groups in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be self help groups aged between 21 and 41 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Commerce and Industry,Gujarat,Startup
Integrated Housing Mission,"The Integrated Housing Mission is designed to promote housing development by providing targeted support to small business owners in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be small business owners aged between 29 and 42 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Housing and Urban Affairs,Karnataka,Housing
Rural Development Employment Abhiyan,"The Rural Development Employment Abhiyan is designed to promote employment development by providing targeted support to senior citizens in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be senior citizens aged between 21 and 41 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Labour and Employment,All India,Employment
Pradhan Mantri Skill Development Development Initiative,"The Pradhan Mantri Skill Development Development Initiative is designed to promote skill development development by providing targeted support to self help groups in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be self help groups aged between 25 and 50 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Skill Development and Entrepreneurship,All India,Skill Development
National Housing Kalyan Program,"The National Housing Kalyan Program is designed to promote housing development by providing targeted support to urban poor families in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be urban poor families aged between 20 and 43 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Housing and Urban Affairs,Tamil Nadu,Housing
National Healthcare Mission,"The National Healthcare Mission is designed to promote healthcare development by providing targeted support to startup founders in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be startup founders aged between 26 and 45 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Health and Family Welfare,West Bengal,Healthcare
Smart India Skill Development Samriddhi Scheme,"The Smart India Skill Development Samriddhi Scheme is designed to promote skill development development by providing targeted support to urban poor families in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be urban poor families aged between 19 and 54 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Skill Development and Entrepreneurship,Maharashtra,Skill Development
Rural Development Social Welfare Abhiyan,"The Rural Development Social Welfare Abhiyan is designed to promote social welfare development by providing targeted support to small business owners in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be small business owners aged between 19 and 43 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Social Justice and Empowerment,Rajasthan,Social Welfare
Pradhan Mantri Women Welfare Yojana,"The Pradhan Mantri Women Welfare Yojana is designed to promote women welfare development by providing targeted support to farmers in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be farmers aged between 24 and 49 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Women and Child Development,Uttar Pradesh,Women Welfare
Chief Minister Housing Yojana,"The Chief Minister Housing Yojana is designed to promote housing development by providing targeted support to small business owners in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 22 and 59 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Housing and Urban Affairs,Tamil Nadu,Housing
Digital India Energy Mission,"The Digital India Energy Mission is designed to promote energy development by providing targeted support to senior citizens in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be senior citizens aged between 20 and 62 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Power,Tamil Nadu,Energy
