scheme_name,description,benefits,eligibility,application_process,target_beneficiaries,ministry,state,sector
Chief Minister Social Welfare Samriddhi Scheme,"The Chief Minister Social Welfare Samriddhi Scheme is designed to promote social welfare development by providing targeted support to startup founders in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be startup founders aged between 23 and 62 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Social Justice and Empowerment,Maharashtra,Social Welfare
Rural Development Social Welfare Yojana,"The Rural Development Social Welfare Yojana is designed to promote social welfare development by providing targeted support to self help groups in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be self help groups aged between 27 and 53 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Social Justice and Empowerment,Uttar Pradesh,Social Welfare
Digital India Energy Development Initiative,"The Digital India Energy Development Initiative is designed to promote energy development by providing targeted support to farmers in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be farmers aged between 19 and 58 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Power,Telangana,Energy
Urban Development Healthcare Mission,"The Urban Development Healthcare Mission is designed to promote healthcare development by providing targeted support to students in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be students aged between 30 and 42 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Health and Family Welfare,Telangana,Healthcare
Urban Development Women Welfare Abhiyan,"The Urban Development Women Welfare Abhiyan is designed to promote women welfare development by providing targeted support to women entrepreneurs in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be women entrepreneurs aged between 18 and 44 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Women and Child Development,All India,Women Welfare
Urban Development Energy Development Initiative,"The Urban Development Energy Development Initiative is designed to promote energy development by providing targeted support to small business owners in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 24 and 48 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Power,Madhya Pradesh,Energy
National Startup Samriddhi Scheme,"The National Startup Samriddhi Scheme is designed to promote startup development by providing targeted support to students in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be students aged between 22 and 43 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Commerce and Industry,West Bengal,Startup
Smart India Skill Development Abhiyan,"The Smart India Skill Development Abhiyan is designed to promote skill development development by providing targeted support to farmers in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be farmers aged between 30 and 40 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Skill Development and Entrepreneurship,Tamil Nadu,Skill Development
Rural Development Housing Kalyan Program,"The Rural Development Housing Kalyan Program is designed to promote housing development by providing targeted support to senior citizens in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be senior citizens aged between 20 and 63 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Housing and Urban Affairs,Karnataka,Housing
Urban Development Social Welfare Mission,"The Urban Development Social Welfare Mission is designed to promote social welfare development by providing targeted support to students in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be students aged between 20 and 53 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Social Justice and Empowerment,All India,Social Welfare
Integrated Energy Development Initiative,"The Integrated Energy Development Initiative is designed to promote energy development by providing targeted support to women entrepreneurs in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be women entrepreneurs aged between 21 and 60 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Power,Gujarat,Energy
Chief Minister Healthcare Development Initiative,"The Chief Minister Healthcare Development Initiative is designed to promote healthcare development by providing targeted support to students in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be students aged between 21 and 40 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Health and Family Welfare,Gujarat,Healthcare
Urban Development Skill Development Yojana,"The Urban Development Skill Development Yojana is designed to promote skill development development by providing targeted support to small business owners in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 28 and 58 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Skill Development and Entrepreneurship,Kerala,Skill Development
Digital India Skill Development Development Initiative,"The Digital India Skill Development Development Initiative is designed to promote skill development development by providing targeted support to rural households in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be rural households aged between 18 and 64 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Skill Development and Entrepreneurship,Telangana,Skill Development
Urban Development Employment Development Initiative,"The Urban Development Employment Development Initiative is designed to promote employment development by providing targeted support to rural households in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be rural households aged between 22 and 59 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Labour and Employment,Madhya Pradesh,Employment
Pradhan Mantri Education Yojana,"The Pradhan Mantri Education Yojana is designed to promote education development by providing targeted support to small business owners in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 30 and 63 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Education,Uttar Pradesh,Education
National Employment Kalyan Program,"The National Employment Kalyan Program is designed to promote employment development by providing targeted support to rural households in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be rural households aged between 30 and 56 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Labour and Employment,Gujarat,Employment
Smart India Skill Development Mission,"The Smart India Skill Development Mission is designed to promote skill development development by providing targeted support to farmers in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be farmers aged between 26 and 44 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Skill Development and Entrepreneurship,Rajasthan,Skill Development
Pradhan Mantri Healthcare Development Initiative,"The Pradhan Mantri Healthcare Development Initiative is designed to promote healthcare development by providing targeted support to farmers in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 19 and 56 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Health and Family Welfare,Gujarat,Healthcare
Pradhan Mantri Startup Yojana,"The Pradhan Mantri Startup Yojana is designed to promote startup development by providing targeted support to startup founders in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be startup founders aged between 19 and 46 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Commerce and Industry,Andhra Pradesh,Startup
Chief Minister Agriculture Kalyan Program,"The Chief Minister Agriculture Kalyan Program is designed to promote agriculture development by providing targeted support to small business owners in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 21 and 45 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Agriculture and Farmers Welfare,Tamil Nadu,Agriculture
Chief Minister Agriculture Mission,"The Chief Minister Agriculture Mission is designed to promote agriculture development by providing targeted support to students in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be students aged between 20 and 47 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Agriculture and Farmers Welfare,Madhya Pradesh,Agriculture
Pradhan Mantri Energy Yojana,"The Pradhan Mantri Energy Yojana is designed to promote energy development by providing targeted support to small business owners in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 29 and 65 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Power,Maharashtra,Energy
Urban Development Skill Development Samriddhi Scheme,"The Urban Development Skill Development Samriddhi Scheme is designed to promote skill development development by providing targeted support to students in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be students aged between 27 and 46 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Skill Development and Entrepreneurship,Kerala,Skill Development
Chief Minister Startup Samriddhi Scheme,"The Chief Minister Startup Samriddhi Scheme is designed to promote startup development by providing targeted support to students in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be students aged between 21 and 52 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Commerce and Industry,Madhya Pradesh,Startup
Integrated Startup Abhiyan,"The Integrated Startup Abhiyan is designed to promote startup development by providing targeted support to students in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be students aged between 29 and 61 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Commerce and Industry,Tamil Nadu,Startup
Pradhan Mantri Startup Development Initiative,"The Pradhan Mantri Startup Development Initiative is designed to promote startup development by providing targeted support to startup founders in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be startup founders aged between 21 and 61 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Commerce and Industry,Karnataka,Startup
Urban Development Startup Development Initiative,"The Urban Development Startup Development Initiative is designed to promote startup development by providing targeted support to farmers in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be farmers aged between 20 and 58 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Commerce and Industry,Uttar Pradesh,Startup
Digital India Education Mission,"The Digital India Education Mission is designed to promote education development by providing targeted support to rural households in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be rural households aged between 24 and 64 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Education,Rajasthan,Education
Rural Development Energy Yojana,"The Rural Development Energy Yojana is designed to promote energy development by providing targeted support to women entrepreneurs in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be women entrepreneurs aged between 28 and 58 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Power,Rajasthan,Energy
National Women Welfare Yojana,"The National Women Welfare Yojana is designed to promote women welfare development by providing targeted support to youth in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be youth aged between 24 and 62 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Women and Child Development,West Bengal,Women Welfare
National Agriculture Yojana,"The National Agriculture Yojana is designed to promote agriculture development by providing targeted support to farmers in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 18 and 58 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Agriculture and Farmers Welfare,Andhra Pradesh,Agriculture
National Startup Yojana,"The National Startup Yojana is designed to promote startup development by providing targeted support to rural households in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be rural households aged between 18 and 62 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Commerce and Industry,Telangana,Startup
National Social Welfare Yojana,"The National Social Welfare Yojana is designed to promote social welfare development by providing targeted support to urban poor families in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be urban poor families aged between 21 and 45 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Social Justice and Empowerment,Kerala,Social Welfare
Integrated Energy Samriddhi Scheme,"The Integrated Energy Samriddhi Scheme is designed to promote energy development by providing targeted support to small business owners in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 20 and 49 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Power,West Bengal,Energy
Pradhan Mantri Healthcare Abhiyan,"The Pradhan Mantri Healthcare Abhiyan is designed to promote healthcare development by providing targeted support to urban poor families in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be urban poor families aged between 25 and 56 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Health and Family Welfare,Maharashtra,Healthcare
Urban Development Healthcare Abhiyan,"The Urban Development Healthcare Abhiyan is designed to promote healthcare development by providing targeted support to small business owners in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 27 and 43 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Health and Family Welfare,Gujarat,Healthcare
Urban Development Agriculture Yojana,"The Urban Development Agriculture Yojana is designed to promote agriculture development by providing targeted support to small business owners in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 29 and 41 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Agriculture and Farmers Welfare,Rajasthan,Agriculture
Smart India Energy Abhiyan,"The Smart India Energy Abhiyan is designed to promote energy development by providing targeted support to farmers in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be farmers aged between 26 and 50 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Power,Uttar Pradesh,Energy
National Housing Yojana,"The National Housing Yojana is designed to promote housing development by providing targeted support to women entrepreneurs in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be women entrepreneurs aged between 23 and 44 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Housing and Urban Affairs,All India,Housing
Pradhan Mantri Healthcare Mission,"The Pradhan Mantri Healthcare Mission is designed to promote healthcare development by providing targeted support to women entrepreneurs in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be women entrepreneurs aged between 18 and 60 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Health and Family Welfare,West Bengal,Healthcare
Pradhan Mantri Employment Samriddhi Scheme,"The Pradhan Mantri Employment Samriddhi Scheme is designed to promote employment development by providing targeted support to farmers in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be farmers aged between 23 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Labour and Employment,Maharashtra,Employment
Chief Minister Employment Samriddhi Scheme,"The Chief Minister Employment Samriddhi Scheme is designed to promote employment development by providing targeted support to self help groups in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be self help groups aged between 19 and 49 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Labour and Employment,Karnataka,Employment
Rural Development Education Samriddhi Scheme,"The Rural Development Education Samriddhi Scheme is designed to promote education development by providing targeted support to urban poor families in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be urban poor families aged between 30 and 47 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Education,All India,Education
Rural Development Startup Samriddhi Scheme,"The Rural Development Startup Samriddhi Scheme is designed to promote startup development by providing targeted support to farmers in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be farmers aged between 29 and 48 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Commerce and Industry,Rajasthan,Startup
Rural Development Employment Samriddhi Scheme,"The Rural Development Employment Samriddhi Scheme is designed to promote employment development by providing targeted support to farmers in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be farmers aged between 28 and 43 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Labour and Employment,Tamil Nadu,Employment
National Energy Kalyan Program,"The National Energy Kalyan Program is designed to promote energy development by providing targeted support to senior citizens in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be senior citizens aged between 20 and 40 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Power,All India,Energy
Chief Minister Agriculture Yojana,"The Chief Minister Agriculture Yojana is designed to promote agriculture development by providing targeted support to urban poor families in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be urban poor families aged between 30 and 59 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Agriculture and Farmers Welfare,Maharashtra,Agriculture
National Skill Development Abhiyan,"The National Skill Development Abhiyan is designed to promote skill development development by providing targeted support to startup founders in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be startup founders aged between 22 and 54 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Skill Development and Entrepreneurship,Tamil Nadu,Skill Development
Integrated Energy Abhiyan,"The Integrated Energy Abhiyan is designed to promote energy development by providing targeted support to women entrepreneurs in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be women entrepreneurs aged between 26 and 42 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Power,Telangana,Energy
Digital India Healthcare Samriddhi Scheme,"The Digital India Healthcare Samriddhi Scheme is designed to promote healthcare development by providing targeted support to farmers in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 27 and 52 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Health and Family Welfare,Telangana,Healthcare
Rural Development Energy Development Initiative,"The Rural Development Energy Development Initiative is designed to promote energy development by providing targeted support to senior citizens in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be senior citizens aged between 26 and 47 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Power,Tamil Nadu,Energy
Rural Development Agriculture Mission,"The Rural Development Agriculture Mission is designed to promote agriculture development by providing targeted support to urban poor families in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be urban poor families aged between 21 and 55 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Agriculture and Farmers Welfare,Madhya Pradesh,Agriculture
Rural Development Healthcare Abhiyan,"The Rural Development Healthcare Abhiyan is designed to promote healthcare development by providing targeted support to senior citizens in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be senior citizens aged between 21 and 61 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Health and Family Welfare,Madhya Pradesh,Healthcare
Rural Development Employment Kalyan Program,"The Rural Development Employment Kalyan Program is designed to promote employment development by providing targeted support to small business owners in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 20 and 50 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Labour and Employment,All India,Employment
Integrated Skill Development Abhiyan,"The Integrated Skill Development Abhiyan is designed to promote skill development development by providing targeted support to startup founders in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be startup founders aged between 22 and 41 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Skill Development and Entrepreneurship,Telangana,Skill Development
Chief Minister Employment Yojana,"The Chief Minister Employment Yojana is designed to promote employment development by providing targeted support to small business owners in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 24 and 55 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Labour and Employment,Uttar Pradesh,Employment
Rural Development Healthcare Yojana,"The Rural Development Healthcare Yojana is designed to promote healthcare development by providing targeted support to rural households in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be rural households aged between 23 and 53 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Health and Family Welfare,Rajasthan,Healthcare
Urban Development Women Welfare Kalyan Program,"The Urban Development Women Welfare Kalyan Program is designed to promote women welfare development by providing targeted support to senior citizens in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be senior citizens aged between 25 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Women and Child Development,Andhra Pradesh,Women Welfare
Urban Development Education Mission,"The Urban Development Education Mission is designed to promote education development by providing targeted support to self help groups in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be self help groups aged between 21 and 44 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Education,Tamil Nadu,Education
Integrated Startup Samriddhi Scheme,"The Integrated Startup Samriddhi Scheme is designed to promote startup development by providing targeted support to rural households in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be rural households aged between 23 and 45 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Commerce and Industry,All India,Startup
Smart India Housing Abhiyan,"The Smart India Housing Abhiyan is designed to promote housing development by providing targeted support to students in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be students aged between 30 and 58 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Housing and Urban Affairs,Madhya Pradesh,Housing
Smart India Energy Kalyan Program,"The Smart India Energy Kalyan Program is designed to promote energy development by providing targeted support to startup founders in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be startup founders aged between 27 and 45 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Power,Tamil Nadu,Energy
Pradhan Mantri Agriculture Kalyan Program,"The Pradhan Mantri Agriculture Kalyan Program is designed to promote agriculture development by providing targeted support to startup founders in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be startup founders aged between 28 and 65 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Agriculture and Farmers Welfare,Maharashtra,Agriculture
Pradhan Mantri Employment Abhiyan,"The Pradhan Mantri Employment Abhiyan is designed to promote employment development by providing targeted support to self help groups in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be self help groups aged between 19 and 47 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Labour and Employment,Rajasthan,Employment
