scheme_name,description,benefits,eligibility,application_process,target_beneficiaries,ministry,state,sector,rag_text
Digital India Education Abhiyan,"The Digital India Education Abhiyan is designed to promote education development by providing targeted support to farmers in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 22 and 40 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Education,Telangana,Education,"
Scheme Name: Digital India Education Abhiyan

Sector: Education
Ministry: Ministry of Education
State: Telangana

Description:
The Digital India Education Abhiyan is designed to promote education development by providing targeted support to farmers in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be farmers aged between 22 and 40 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.

Target Beneficiaries:
farmers

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Rural Development Education Yojana,"The Rural Development Education Yojana is designed to promote education development by providing targeted support to small business owners in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be small business owners aged between 24 and 46 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Education,Rajasthan,Education,"
Scheme Name: Rural Development Education Yojana

Sector: Education
Ministry: Ministry of Education
State: Rajasthan

Description:
The Rural Development Education Yojana is designed to promote education development by providing targeted support to small business owners in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
free skill training and certification

Eligibility:
Applicants must be small business owners aged between 24 and 46 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Rajasthan.

Target Beneficiaries:
small business owners

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Rural Development Agriculture Kalyan Program,"The Rural Development Agriculture Kalyan Program is designed to promote agriculture development by providing targeted support to farmers in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be farmers aged between 29 and 51 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Agriculture and Farmers Welfare,Telangana,Agriculture,"
Scheme Name: Rural Development Agriculture Kalyan Program

Sector: Agriculture
Ministry: Ministry of Agriculture and Farmers Welfare
State: Telangana

Description:
The Rural Development Agriculture Kalyan Program is designed to promote agriculture development by providing targeted support to farmers in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be farmers aged between 29 and 51 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.

Target Beneficiaries:
farmers

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Urban Development Housing Kalyan Program,"The Urban Development Housing Kalyan Program is designed to promote housing development by providing targeted support to youth in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be youth aged between 29 and 55 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Housing and Urban Affairs,Maharashtra,Housing,"
Scheme Name: Urban Development Housing Kalyan Program

Sector: Housing
Ministry: Ministry of Housing and Urban Affairs
State: Maharashtra

Description:
The Urban Development Housing Kalyan Program is designed to promote housing development by providing targeted support to youth in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be youth aged between 29 and 55 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.

Target Beneficiaries:
youth

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Urban Development Housing Mission,"The Urban Development Housing Mission is designed to promote housing development by providing targeted support to rural households in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be rural households aged between 23 and 51 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Housing and Urban Affairs,Andhra Pradesh,Housing,"
Scheme Name: Urban Development Housing Mission

Sector: Housing
Ministry: Ministry of Housing and Urban Affairs
State: Andhra Pradesh

Description:
The Urban Development Housing Mission is designed to promote housing development by providing targeted support to rural households in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
low-interest loans through partner banks

Eligibility:
Applicants must be rural households aged between 23 and 51 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.

Target Beneficiaries:
rural households

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Chief Minister Education Mission,"The Chief Minister Education Mission is designed to promote education development by providing targeted support to farmers in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 24 and 42 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Education,Madhya Pradesh,Education,"
Scheme Name: Chief Minister Education Mission

Sector: Education
Ministry: Ministry of Education
State: Madhya Pradesh

Description:
The Chief Minister Education Mission is designed to promote education development by providing targeted support to farmers in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be farmers aged between 24 and 42 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Madhya Pradesh.

Target Beneficiaries:
farmers

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Integrated Agriculture Development Initiative,"The Integrated Agriculture Development Initiative is designed to promote agriculture development by providing targeted support to farmers in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be farmers aged between 23 and 48 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Agriculture and Farmers Welfare,All India,Agriculture,"
Scheme Name: Integrated Agriculture Development Initiative

Sector: Agriculture
Ministry: Ministry of Agriculture and Farmers Welfare
State: All India

Description:
The Integrated Agriculture Development Initiative is designed to promote agriculture development by providing targeted support to farmers in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
low-interest loans through partner banks

Eligibility:
Applicants must be farmers aged between 23 and 48 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.

Target Beneficiaries:
farmers

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
National Energy Kalyan Program,"The National Energy Kalyan Program is designed to promote energy development by providing targeted support to startup founders in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be startup founders aged between 30 and 61 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Power,All India,Energy,"
Scheme Name: National Energy Kalyan Program

Sector: Energy
Ministry: Ministry of Power
State: All India

Description:
The National Energy Kalyan Program is designed to promote energy development by providing targeted support to startup founders in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
free skill training and certification

Eligibility:
Applicants must be startup founders aged between 30 and 61 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.

Target Beneficiaries:
startup founders

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Urban Development Startup Samriddhi Scheme,"The Urban Development Startup Samriddhi Scheme is designed to promote startup development by providing targeted support to urban poor families in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be urban poor families aged between 19 and 45 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Commerce and Industry,Karnataka,Startup,"
Scheme Name: Urban Development Startup Samriddhi Scheme

Sector: Startup
Ministry: Ministry of Commerce and Industry
State: Karnataka

Description:
The Urban Development Startup Samriddhi Scheme is designed to promote startup development by providing targeted support to urban poor families in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
low-interest loans through partner banks

Eligibility:
Applicants must be urban poor families aged between 19 and 45 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.

Target Beneficiaries:
urban poor families

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Chief Minister Healthcare Development Initiative,"The Chief Minister Healthcare Development Initiative is designed to promote healthcare development by providing targeted support to self help groups in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be self help groups aged between 28 and 51 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Health and Family Welfare,Andhra Pradesh,Healthcare,"
Scheme Name: Chief Minister Healthcare Development Initiative

Sector: Healthcare
Ministry: Ministry of Health and Family Welfare
State: Andhra Pradesh

Description:
The Chief Minister Healthcare Development Initiative is designed to promote healthcare development by providing targeted support to self help groups in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be self help groups aged between 28 and 51 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Andhra Pradesh.

Target Beneficiaries:
self help groups

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Smart India Agriculture Kalyan Program,"The Smart India Agriculture Kalyan Program is designed to promote agriculture development by providing targeted support to startup founders in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be startup founders aged between 27 and 58 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Agriculture and Farmers Welfare,All India,Agriculture,"
Scheme Name: Smart India Agriculture Kalyan Program

Sector: Agriculture
Ministry: Ministry of Agriculture and Farmers Welfare
State: All India

Description:
The Smart India Agriculture Kalyan Program is designed to promote agriculture development by providing targeted support to startup founders in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
financial assistance up to ₹50,000

Eligibility:
Applicants must be startup founders aged between 27 and 58 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.

Target Beneficiaries:
startup founders

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Urban Development Energy Samriddhi Scheme,"The Urban Development Energy Samriddhi Scheme is designed to promote energy development by providing targeted support to urban poor families in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be urban poor families aged between 29 and 49 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Power,Telangana,Energy,"
Scheme Name: Urban Development Energy Samriddhi Scheme

Sector: Energy
Ministry: Ministry of Power
State: Telangana

Description:
The Urban Development Energy Samriddhi Scheme is designed to promote energy development by providing targeted support to urban poor families in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
low-interest loans through partner banks

Eligibility:
Applicants must be urban poor families aged between 29 and 49 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.

Target Beneficiaries:
urban poor families

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Rural Development Energy Abhiyan,"The Rural Development Energy Abhiyan is designed to promote energy development by providing targeted support to students in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be students aged between 25 and 57 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Power,Karnataka,Energy,"
Scheme Name: Rural Development Energy Abhiyan

Sector: Energy
Ministry: Ministry of Power
State: Karnataka

Description:
The Rural Development Energy Abhiyan is designed to promote energy development by providing targeted support to students in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be students aged between 25 and 57 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.

Target Beneficiaries:
students

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Chief Minister Agriculture Kalyan Program,"The Chief Minister Agriculture Kalyan Program is designed to promote agriculture development by providing targeted support to senior citizens in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be senior citizens aged between 26 and 47 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Agriculture and Farmers Welfare,Madhya Pradesh,Agriculture,"
Scheme Name: Chief Minister Agriculture Kalyan Program

Sector: Agriculture
Ministry: Ministry of Agriculture and Farmers Welfare
State: Madhya Pradesh

Description:
The Chief Minister Agriculture Kalyan Program is designed to promote agriculture development by providing targeted support to senior citizens in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be senior citizens aged between 26 and 47 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.

Target Beneficiaries:
senior citizens

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Rural Development Skill Development Abhiyan,"The Rural Development Skill Development Abhiyan is designed to promote skill development development by providing targeted support to youth in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be youth aged between 18 and 53 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Skill Development and Entrepreneurship,Telangana,Skill Development,"
Scheme Name: Rural Development Skill Development Abhiyan

Sector: Skill Development
Ministry: Ministry of Skill Development and Entrepreneurship
State: Telangana

Description:
The Rural Development Skill Development Abhiyan is designed to promote skill development development by providing targeted support to youth in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
low-interest loans through partner banks

Eligibility:
Applicants must be youth aged between 18 and 53 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.

Target Beneficiaries:
youth

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Rural Development Housing Mission,"The Rural Development Housing Mission is designed to promote housing development by providing targeted support to small business owners in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 23 and 46 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Housing and Urban Affairs,Tamil Nadu,Housing,"
Scheme Name: Rural Development Housing Mission

Sector: Housing
Ministry: Ministry of Housing and Urban Affairs
State: Tamil Nadu

Description:
The Rural Development Housing Mission is designed to promote housing development by providing targeted support to small business owners in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be small business owners aged between 23 and 46 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.

Target Beneficiaries:
small business owners

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
National Skill Development Samriddhi Scheme,"The National Skill Development Samriddhi Scheme is designed to promote skill development development by providing targeted support to small business owners in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 28 and 65 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Skill Development and Entrepreneurship,Rajasthan,Skill Development,"
Scheme Name: National Skill Development Samriddhi Scheme

Sector: Skill Development
Ministry: Ministry of Skill Development and Entrepreneurship
State: Rajasthan

Description:
The National Skill Development Samriddhi Scheme is designed to promote skill development development by providing targeted support to small business owners in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
low-interest loans through partner banks

Eligibility:
Applicants must be small business owners aged between 28 and 65 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.

Target Beneficiaries:
small business owners

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Integrated Agriculture Mission,"The Integrated Agriculture Mission is designed to promote agriculture development by providing targeted support to urban poor families in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be urban poor families aged between 24 and 51 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Agriculture and Farmers Welfare,Andhra Pradesh,Agriculture,"
Scheme Name: Integrated Agriculture Mission

Sector: Agriculture
Ministry: Ministry of Agriculture and Farmers Welfare
State: Andhra Pradesh

Description:
The Integrated Agriculture Mission is designed to promote agriculture development by providing targeted support to urban poor families in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
low-interest loans through partner banks

Eligibility:
Applicants must be urban poor families aged between 24 and 51 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Andhra Pradesh.

Target Beneficiaries:
urban poor families

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Integrated Education Kalyan Program,"The Integrated Education Kalyan Program is designed to promote education development by providing targeted support to urban poor families in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be urban poor families aged between 21 and 46 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Education,Uttar Pradesh,Education,"
Scheme Name: Integrated Education Kalyan Program

Sector: Education
Ministry: Ministry of Education
State: Uttar Pradesh

Description:
The Integrated Education Kalyan Program is designed to promote education development by providing targeted support to urban poor families in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
financial assistance up to ₹50,000

Eligibility:
Applicants must be urban poor families aged between 21 and 46 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.

Target Beneficiaries:
urban poor families

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Pradhan Mantri Housing Yojana,"The Pradhan Mantri Housing Yojana is designed to promote housing development by providing targeted support to small business owners in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be small business owners aged between 25 and 60 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Housing and Urban Affairs,Kerala,Housing,"
Scheme Name: Pradhan Mantri Housing Yojana

Sector: Housing
Ministry: Ministry of Housing and Urban Affairs
State: Kerala

Description:
The Pradhan Mantri Housing Yojana is designed to promote housing development by providing targeted support to small business owners in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
free skill training and certification

Eligibility:
Applicants must be small business owners aged between 25 and 60 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Kerala.

Target Beneficiaries:
small business owners

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Smart India Skill Development Yojana,"The Smart India Skill Development Yojana is designed to promote skill development development by providing targeted support to women entrepreneurs in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be women entrepreneurs aged between 26 and 59 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Skill Development and Entrepreneurship,Tamil Nadu,Skill Development,"
Scheme Name: Smart India Skill Development Yojana

Sector: Skill Development
Ministry: Ministry of Skill Development and Entrepreneurship
State: Tamil Nadu

Description:
The Smart India Skill Development Yojana is designed to promote skill development development by providing targeted support to women entrepreneurs in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be women entrepreneurs aged between 26 and 59 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.

Target Beneficiaries:
women entrepreneurs

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Pradhan Mantri Skill Development Yojana,"The Pradhan Mantri Skill Development Yojana is designed to promote skill development development by providing targeted support to small business owners in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be small business owners aged between 21 and 64 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Skill Development and Entrepreneurship,Tamil Nadu,Skill Development,"
Scheme Name: Pradhan Mantri Skill Development Yojana

Sector: Skill Development
Ministry: Ministry of Skill Development and Entrepreneurship
State: Tamil Nadu

Description:
The Pradhan Mantri Skill Development Yojana is designed to promote skill development development by providing targeted support to small business owners in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be small business owners aged between 21 and 64 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.

Target Beneficiaries:
small business owners

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Pradhan Mantri Startup Kalyan Program,"The Pradhan Mantri Startup Kalyan Program is designed to promote startup development by providing targeted support to self help groups in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be self help groups aged between 30 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Commerce and Industry,Andhra Pradesh,Startup,"
Scheme Name: Pradhan Mantri Startup Kalyan Program

Sector: Startup
Ministry: Ministry of Commerce and Industry
State: Andhra Pradesh

Description:
The Pradhan Mantri Startup Kalyan Program is designed to promote startup development by providing targeted support to self help groups in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
low-interest loans through partner banks

Eligibility:
Applicants must be self help groups aged between 30 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.

Target Beneficiaries:
self help groups

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Pradhan Mantri Startup Yojana,"The Pradhan Mantri Startup Yojana is designed to promote startup development by providing targeted support to rural households in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be rural households aged between 18 and 47 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Commerce and Industry,All India,Startup,"
Scheme Name: Pradhan Mantri Startup Yojana

Sector: Startup
Ministry: Ministry of Commerce and Industry
State: All India

Description:
The Pradhan Mantri Startup Yojana is designed to promote startup development by providing targeted support to rural households in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be rural households aged between 18 and 47 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.

Target Beneficiaries:
rural households

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Chief Minister Education Yojana,"The Chief Minister Education Yojana is designed to promote education development by providing targeted support to farmers in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 22 and 61 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Education,Tamil Nadu,Education,"
Scheme Name: Chief Minister Education Yojana

Sector: Education
Ministry: Ministry of Education
State: Tamil Nadu

Description:
The Chief Minister Education Yojana is designed to promote education development by providing targeted support to farmers in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be farmers aged between 22 and 61 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.

Target Beneficiaries:
farmers

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
National Startup Mission,"The National Startup Mission is designed to promote startup development by providing targeted support to senior citizens in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be senior citizens aged between 29 and 50 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Commerce and Industry,Tamil Nadu,Startup,"
Scheme Name: National Startup Mission

Sector: Startup
Ministry: Ministry of Commerce and Industry
State: Tamil Nadu

Description:
The National Startup Mission is designed to promote startup development by providing targeted support to senior citizens in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
free skill training and certification

Eligibility:
Applicants must be senior citizens aged between 29 and 50 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.

Target Beneficiaries:
senior citizens

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Integrated Energy Kalyan Program,"The Integrated Energy Kalyan Program is designed to promote energy development by providing targeted support to senior citizens in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be senior citizens aged between 29 and 51 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Power,All India,Energy,"
Scheme Name: Integrated Energy Kalyan Program

Sector: Energy
Ministry: Ministry of Power
State: All India

Description:
The Integrated Energy Kalyan Program is designed to promote energy development by providing targeted support to senior citizens in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be senior citizens aged between 29 and 51 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.

Target Beneficiaries:
senior citizens

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Urban Development Employment Mission,"The Urban Development Employment Mission is designed to promote employment development by providing targeted support to rural households in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be rural households aged between 24 and 41 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Labour and Employment,Andhra Pradesh,Employment,"
Scheme Name: Urban Development Employment Mission

Sector: Employment
Ministry: Ministry of Labour and Employment
State: Andhra Pradesh

Description:
The Urban Development Employment Mission is designed to promote employment development by providing targeted support to rural households in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be rural households aged between 24 and 41 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Andhra Pradesh.

Target Beneficiaries:
rural households

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
